,objectid,DATE,DAILY_ENTRIES,STATION_LINENAME
102,1.0,10/10/2019,16498.0,ASTOR PL6
103,1.0,10/11/2019,19262.0,ASTOR PL6
104,1.0,10/12/2019,19072.0,ASTOR PL6
105,1.0,10/13/2019,16191.0,ASTOR PL6
106,1.0,10/14/2019,12754.0,ASTOR PL6
107,1.0,10/15/2019,13614.0,ASTOR PL6
108,1.0,10/16/2019,17914.0,ASTOR PL6
109,1.0,10/17/2019,18835.0,ASTOR PL6
110,1.0,10/18/2019,20162.0,ASTOR PL6
111,1.0,10/19/2019,19458.0,ASTOR PL6
112,1.0,10/20/2019,12937.0,ASTOR PL6
113,1.0,10/21/2019,9316.0,ASTOR PL6
114,1.0,10/22/2019,16940.0,ASTOR PL6
115,1.0,10/23/2019,18840.0,ASTOR PL6
116,1.0,10/24/2019,18806.0,ASTOR PL6
117,1.0,10/25/2019,19766.0,ASTOR PL6
118,1.0,10/26/2019,18641.0,ASTOR PL6
119,1.0,10/27/2019,13181.0,ASTOR PL6
120,1.0,10/28/2019,8110.0,ASTOR PL6
121,1.0,10/29/2019,15988.0,ASTOR PL6
122,1.0,10/30/2019,17557.0,ASTOR PL6
123,1.0,10/31/2019,17611.0,ASTOR PL6
124,1.0,11/01/2019,18515.0,ASTOR PL6
125,1.0,11/02/2019,18535.0,ASTOR PL6
126,1.0,11/03/2019,9003.0,ASTOR PL6
127,1.0,11/04/2019,6814.0,ASTOR PL6
128,1.0,11/05/2019,16429.0,ASTOR PL6
129,1.0,11/06/2019,17137.0,ASTOR PL6
130,1.0,11/07/2019,17582.0,ASTOR PL6
131,1.0,11/08/2019,18388.0,ASTOR PL6
132,1.0,11/09/2019,18913.0,ASTOR PL6
133,1.0,11/10/2019,13410.0,ASTOR PL6
134,1.0,11/11/2019,9794.0,ASTOR PL6
135,1.0,11/12/2019,15273.0,ASTOR PL6
136,1.0,11/13/2019,17974.0,ASTOR PL6
137,1.0,11/14/2019,17595.0,ASTOR PL6
138,1.0,11/15/2019,18154.0,ASTOR PL6
139,1.0,11/16/2019,18838.0,ASTOR PL6
140,1.0,11/17/2019,13724.0,ASTOR PL6
141,1.0,11/18/2019,9733.0,ASTOR PL6
142,1.0,11/19/2019,16331.0,ASTOR PL6
143,1.0,11/20/2019,17470.0,ASTOR PL6
144,1.0,11/21/2019,17676.0,ASTOR PL6
145,1.0,11/22/2019,17876.0,ASTOR PL6
146,1.0,11/23/2019,18337.0,ASTOR PL6
147,1.0,11/24/2019,12560.0,ASTOR PL6
148,1.0,11/25/2019,9086.0,ASTOR PL6
